Pincode,Lat,Lon
744301,7.5166,93.6031
744301,9.1167,92.8
744301,9.2333,92.7833
744301,9.1833,92.7667
744301,9.1833,92.7667
744302,9.1833,92.7667
744302,9.1833,92.7667
744302,9.1833,92.7667
744302,9.1833,92.7667
744302,9.1833,92.7667
744302,9.1833,92.7667
744303,9.1833,92.7667
744303,9.1833,92.7667
744303,9.1833,92.7667
744303,9.1833,92.7667
744303,9.1833,92.7667
744304,9.1833,92.7667
744304,9.1833,92.7667
744304,9.1833,92.7667
744201,12.7167,92.9
744201,12.7167,92.9
744201,12.7167,92.9
744201,12.7167,92.9
744202,13.1553,92.8778
744202,13.211,92.9389
744202,13.211,92.9389
744202,13.211,92.9389
744202,13.211,92.9389
744202,13.211,92.9389
744202,13.211,92.9389
744202,13.211,92.9389
744202,13.211,92.9389
744202,13.211,92.9389
744202,13.211,92.9389
744202,13.2667,93.0
744203,12.6435,92.8794
744204,12.6435,92.8794
744204,12.6435,92.8794
744204,12.6435,92.8794
744204,12.6435,92.8794
744204,12.6435,92.8794
744205,12.506,92.9155
744205,12.5,92.9
744205,12.503,92.9077
744205,12.503,92.9077
744205,12.503,92.9077
744205,12.503,92.9077
744205,12.503,92.9077
744209,12.6435,92.8794
744209,12.6435,92.8794
744210,12.1853,92.7718
744210,12.1853,92.7718
744210,12.1853,92.7718
744101,11.6647,92.7026
744101,11.6647,92.7026
744101,11.6647,92.7026
744102,11.6833,92.7167
744102,11.6833,92.7167
744102,11.6833,92.7167
744102,11.6833,92.7167
744103,11.7167,92.6167
744103,11.7167,92.6167
744103,11.7167,92.6167
744103,11.7167,92.6167
744103,11.7167,92.6167
744103,11.7167,92.6167
744103,11.7167,92.6167
744103,11.7167,92.6167
744103,11.7167,92.6167
744103,11.7167,92.6167
744104,11.6647,92.7026
744104,11.6647,92.7026
744104,11.6647,92.7026
744105,11.6,92.7333
744105,11.6,92.7333
744105,11.6,92.7333
744105,11.6,92.7333
744105,11.6,92.7333
744105,11.6,92.7333
744105,11.6,92.7333
744106,11.6588,92.7438
744107,11.6647,92.7026
744107,11.6647,92.7026
744112,11.6647,92.7026
744206,11.7167,92.6833
744206,11.7167,92.6833
744206,11.7167,92.6833
744206,11.7167,92.6833
744206,11.7167,92.6833
744206,11.7167,92.6833
744206,11.7167,92.6833
744206,11.7167,92.6833
744206,11.7167,92.6833
744206,11.7167,92.6833
744207,11.5179,92.6486
744207,11.5179,92.6486
744207,11.5179,92.6486
744207,11.5179,92.6486
744211,11.5179,92.6486
744211,11.5179,92.6486
744211,11.5179,92.6486
744211,11.5179,92.6486
532001,18.5786,83.9881
532001,18.5786,83.9881
532001,18.5786,83.9881
532001,18.5786,83.9881
532001,18.5786,83.9881
532001,18.5786,83.9881
532001,18.5786,83.9881
532001,18.5786,83.9881
532005,18.5786,83.9881
532005,18.5786,83.9881
532005,18.5786,83.9881
532005,18.2385,83.8687
532122,18.58,83.6238
532122,18.5519,83.6568
532122,18.5519,83.6568
532122,18.5133,83.6502
532122,18.5519,83.6568
532122,18.5519,83.6568
532122,18.5519,83.6568
532122,18.5357,83.6185
532122,18.5428,83.6473
532122,18.5788,83.662
532122,18.5757,83.6843
532122,18.5426,83.678
532122,18.5538,83.6621
532122,18.5461,83.7011
532122,18.6089,83.763
532122,18.5251,83.6056
532123,18.5333,83.7375
532123,18.4998,83.734
532123,18.4982,83.7213
532123,18.4547,83.7375
532123,18.2752,83.6803
532123,18.4574,83.7821
532123,18.4547,83.7375
532123,18.4547,83.7375
532123,18.4547,83.7375
532123,18.4547,83.7375
532123,18.474,83.7422
532123,18.4453,83.7649
532127,18.5008,83.6602
532127,18.4803,83.6711
532127,18.4736,83.6921
532127,18.4405,83.6356
532127,18.4491,83.6596
532127,18.4541,83.6166
532127,18.4541,83.6166
532127,18.4317,83.6182
532127,18.4541,83.6166
532127,18.4541,83.6166
532127,18.4175,83.6421
532127,18.4309,83.7077
532127,18.4541,83.6166
532127,18.4541,83.6166
532127,18.4777,83.6061
532127,18.4924,83.6299
532148,18.3691,83.7119
532148,18.4018,83.6937
532148,18.395,83.6605
532148,18.3377,83.651
532148,18.4079,83.6306
532148,18.3787,83.6817
532148,18.3755,83.6735
532148,18.3812,83.6965
532148,18.3544,83.6947
532148,18.3586,83.6758
532148,18.3703,83.6382
532148,18.3755,83.6735
532168,18.386,83.7677
532168,18.386,83.7677
532168,18.386,83.7677
532168,18.386,83.7677
532168,18.386,83.7677
532168,18.386,83.7677
